stratum,query,target_phrase,expected,got,node_label,parsed_ok,exists,label_consistent,grounding_score,raw_correct,latency_s
direct,Take this to the kitchen.,the kitchen,n3,n3,kitchen,True,True,True,1.0,True,64.97
direct,Go to office A.,office A,n4,n4,office A,True,True,True,1.0,True,6.9
direct,Deliver to the lobby.,the lobby,n1,n1,lobby,True,True,True,1.0,True,6.85
direct,Head to office B please.,office B,n5,n5,office B,True,True,True,1.0,True,7.21
direct,Move to the corridor.,corridor,n2,n2,corridor,True,True,True,1.0,True,7.06
attribute,Go to the nearest charging dock.,nearest charging dock,n6,n6,charging dock,True,True,True,0.6666666666666666,True,7.38
attribute,Go to the room where people eat.,the room where people eat,n3,n3,kitchen,True,True,True,0.0,True,7.61
attribute,Find the place the robot charges.,the place the robot charges,n6,n6,charging dock,True,True,True,0.5,True,7.74
attribute,Take it to the reception area.,reception area,n1,n1,lobby,True,True,True,1.0,True,7.11
attribute,Deliver to a staff workstation.,staff workstation,n4,n4,office A,True,True,True,1.0,True,7.04
relational,Which place is connected to office A?,office A,n2,n4,office A,True,True,True,1.0,False,7.43
relational,Go to the place that connects to the kitchen.,the place that connects to the kitchen,n2,n3,kitchen,True,True,True,0.5,False,8.82
relational,Take this to the room across from office A.,the room across from office A,n5,n4,office A,True,True,True,0.3333333333333333,False,8.59
ungroundable_far,Take this to the server room.,server room,,n4,office A,True,True,True,0.0,False,6.74
ungroundable_far,Head to the rooftop garden.,rooftop garden,,,,True,,,,True,6.84
ungroundable_far,Deliver to the third floor conference hall.,third floor conference hall,,n4,office A,True,True,True,0.0,False,7.96
ungroundable_near,Take this to office C.,office C,,,,True,,,,True,6.24
ungroundable_near,Go to the north corridor.,the north corridor,,n2,corridor,True,True,True,0.5,False,7.48
ungroundable_near,Deliver to the second kitchen.,the second kitchen,,n3,kitchen,True,True,True,0.5,False,7.4
ungroundable_near,Head to the staff lounge.,staff lounge,,n4,office A,True,True,True,0.5,False,7.16
