stratum,query,expected,got,parsed_ok,correct,hallucinated,latency_s,raw
direct,Take this to the kitchen.,n3,n3,True,True,False,14.4,"{""node_id"": ""n3"", ""reason"": ""directly connected to lobby""}"
direct,Go to office A.,n4,n4,True,True,False,1.93,"{""node_id"": ""n4"", ""reason"": ""directly connected to lobby""}"
direct,Deliver to the lobby.,n1,n1,True,True,False,1.87,"{""node_id"": ""n1"", ""reason"": ""already at the lobby""}"
direct,Head to office B please.,n5,n5,True,True,False,2.04,"{""node_id"": ""n5"", ""reason"": ""directly connected to lobby""}"
direct,Move to the corridor.,n2,n2,True,True,False,2.04,"{""node_id"": ""n2"", ""reason"": ""directly adjacent to lobby""}"
attribute,Go to the nearest charging dock.,n6,n6,True,True,False,2.45,"{""node_id"": ""n6"", ""reason"": ""nearest charging dock found""}"
relational,Which room is connected to office A?,n2,n4,True,False,False,2.98,"{""node_id"": ""n4"", ""reason"": ""directly connected to office A""}"
relational,Take this to the room next to the kitchen.,n2,n3,True,False,False,2.68,"{""node_id"": ""n3"", ""reason"": ""nearest to kitchen""}"
attribute,Go to the room where people eat.,n3,n3,True,True,False,3.18,"{""node_id"": ""n3"", ""reason"": ""the room where people eat is the kitchen""}"
attribute,Find the place the robot charges.,n6,n6,True,True,False,2.35,"{""node_id"": ""n6"", ""reason"": ""charging dock""}"
ungroundable,Take this to the server room.,,n4,True,False,True,3.28,"{""node_id"": ""n4"", ""reason"": ""there is no direct connection from lobby to server room""}"
ungroundable,Deliver to the third floor conference hall.,,,True,True,False,2.98,"{""node_id"": null, ""reason"": ""third floor conference hall not found in the map""}"
ungroundable,Go to the loading bay.,,,True,True,False,2.7,"{""node_id"": null, ""reason"": ""loading bay not found in the map""}"
ungroundable,Bring it to Dr. Rahman's laboratory.,,n4,True,False,True,3.21,"{""node_id"": ""n4"", ""reason"": ""nearest office to Dr. Rahman's laboratory""}"
ungroundable,Head to the rooftop garden.,,,True,True,False,2.99,"{""node_id"": null, ""reason"": ""no node with label 'rooftop garden'""}"
